# Next Gen Visuals 2.0
#
# stores intial values for configuration of in game elements
#Name	Value
#Values to use with height based reflection map
heightReflect.width	140.00
heightReflect.height	225.00
heightReflect.specularoffset	0.15
heightReflect.waterspeed	1.00

#Values to use with rain collision map
raincollision.specularoffset	1.00
raincollision.waterspeed	1.00

#Values for rain GPU particle effect
rain.NumberParticles	16384
rain.UseLitShader	1.00
rain.gravity.x	0.00
rain.gravity.y	0.00
rain.gravity.z	-0.98
rain.fadeInScale	2.00
rain.diffuse	1.00
rain.ambient	0.40
rain.wrapScale	0.60
rain.wrapBias	0.40

rain.defaultlight.red	1.00
rain.defaultlight.green	1.00
rain.defaultlight.blue	1.00
rain.defaultlight.alpha	16.00


weather.CycleDuration 240
weather.ChangeCloudOnSameCloudTypeChance 0.5
weather.ChangeCloudOnSameWeatherTypeChance 0.5


sky.sun.centreStart	0.98
sky.sun.centreEnd	1.0
sky.cloudWarp	1.0
sky.cloudInscatteringRange	0.68
sky.cloudEdgeSmooth	0.78
sky.sunAxiasX	1.0
sky.sunAxiasY	0.0
sky.GameCloudSpeed	0.0


shadows.cloudtexture.scale		1.1
shadows.cloudtexture.rangemin	0.0
shadows.cloudtexture.rangemax	1.2


car.interiorlight.color.red	0.35
car.interiorlight.color.green	0.70
car.interiorlight.color.blue	1.40
car.interiorlight.intensity	1.90
car.interiorlight.radius	2.00
car.interiorlight.innerConeAngle	60.00
car.interiorlight.outerConeAngle	90.00
car.interiorlight.day.emissive.on	0.00
car.interiorlight.night.emissive.on	0.00
car.interiorlight.day.emissive.off	0.00
car.interiorlight.night.emissive.off	0.00
car.interiorlight.coronaHDR 1.00
car.interiorlight.coronaSize 1.00


car.fatinteriorlight.color.red	1.00
car.fatinteriorlight.color.green	1.00
car.fatinteriorlight.color.blue	0.70
car.fatinteriorlight.intensity	1.5
car.fatinteriorlight.radius	3.4
car.fatinteriorlight.innerConeAngle	0.00
car.fatinteriorlight.outerConeAngle	90.00
car.fatinteriorlight.day.emissive.on	0.00
car.fatinteriorlight.night.emissive.on	0.00
car.fatinteriorlight.day.emissive.off	0.00
car.fatinteriorlight.night.emissive.off	0.00
car.fatinteriorlight.coronaHDR 1.00
car.fatinteriorlight.coronaSize 1.00


car.redinteriorlight.color.red	1.00
car.redinteriorlight.color.green	0.00
car.redinteriorlight.color.blue	0.00
car.redinteriorlight.intensity	1.80
car.redinteriorlight.radius	2.2
car.redinteriorlight.innerConeAngle	0.00
car.redinteriorlight.outerConeAngle	90.00
car.redinteriorlight.day.emissive.on	0.00
car.redinteriorlight.night.emissive.on	0.00
car.redinteriorlight.day.emissive.off	0.00
car.redinteriorlight.night.emissive.off	0.00
car.redinteriorlight.coronaHDR 1.00
car.redinteriorlight.coronaSize 1.00

car.platelight.color.red	        0.35
car.platelight.color.green	        0.70
car.platelight.color.blue	        1.40
car.platelight.intensity	        1.00
car.platelight.radius	            0.50
car.platelight.innerConeAngle	    0.00
car.platelight.outerConeAngle	    90.00
car.platelight.day.emissive.on	    0.00
car.platelight.night.emissive.on	0.00
car.platelight.day.emissive.off	    0.00
car.platelight.night.emissive.off	0.00
car.platelight.coronaHDR            1.00
car.platelight.coronaSize           0.00
car.platelight.falloffExp			64

car.dashlight.color.red	            1.00
car.dashlight.color.green	        0.75
car.dashlight.color.blue	        0.5
car.dashlight.intensity	            0.02
car.dashlight.radius	            1.50
